Name	Location	Status	lat	NS	long	EW	Elev	Type	Eruptype
Krakatau	Indonesia	Historical	-6.102	S	105.423	E	813	Caldera	S1
Namarunu	Africa-E	Tephrochronology	1.98	N	36.43	E	817	Shield volcano	M0
Epi	Vanuatu-SW Pacific	Historical	-16.68	S	168.37	E	833	Stratovolcanoes	M0
Pantelleria	Italy	Historical	36.77	N	12.02	E	836	Shield volcano	S0
Traitor's Head	Vanuatu-SW Pacific	Historical	-18.75	S	169.23	E	837	Stratovolcano	M0
Madilogo	New Guinea	Holocene	-9.2	S	147.57	E	850	Pyroclastic cone	M0
Tinakula	Santa Cruz Is-SW Pacific	Historical	-10.38	S	165.8	E	851	Stratovolcano	S1
Aneityum	Vanuatu-SW Pacific	Holocene maybe	-20.2	S	169.78	E	852	Stratovolcanoes	M0
Lolobau	New Britain-SW Pac	Historical	-4.92	S	151.158	E	858	Caldera	M3
Mahagnao	Philippines-C	Fumarolic	10.896	N	125.87	E	860	Stratovolcano	S0
Sirung	Lesser Sunda Is	Historical	-8.508	S	124.13	E	862	Complex volcano	S1
Balut	Mindanao-Philippines	Fumarolic	5.4	N	125.375	E	862	Stratovolcano	S0
Wurlali	Banda Sea	Historical	-7.125	S	128.675	E	868	Stratovolcano	S1
Borawli	Ethiopia	Holocene	11.63	N	41.45	E	875	Lava domes	S0
Paluweh	Lesser Sunda Is	Historical	-8.32	S	121.708	E	875	Stratovolcano	S2
Liado Hayk	Ethiopia	Holocene maybe	9.57	N	40.28	E	878	Maars	S0
Amsterdam Island	Indian O.-S	Holocene	-37.83	S	77.52	E	881	Stratovolcano	M0
Olot Volc Field	Spain	Holocene	42.17	N	2.53	E	893	Pyroclastic cones	M0
Hertali	Ethiopia	Holocene	9.78	N	40.33	E	900	Fissure vent	M0
Bibinoi	Halmahera-Indonesia	Holocene	-0.77	S	127.72	E	900	Stratovolcanoes	S0
Sano Wai	Lesser Sunda Is	Holocene	-8.72	S	120.02	E	903	Caldera	S0
Alid	Ethiopia	Holocene	14.88	N	39.92	E	904	Stratovolcano	S0
Korath Range	Ethiopia	Holocene maybe	5.1	N	35.88	E	912	Tuff cones	M0
Suretamatai	Vanuatu-SW Pacific	Historical	-13.8	S	167.47	E	921	Complex volcano	S0
Stromboli	Italy	Historical	38.789	N	15.213	E	924	Stratovolcano	M1
Groppo	Ethiopia	Holocene	11.73	N	40.25	E	930	Stratovolcano	S0
Ta'u	Samoa-SW Pacific	Holocene	-14.23	S	-169.454	W	931	Shield volcano	M0
Possession Ile de la	Indian O.-S	Holocene	-46.42	S	51.75	E	934	Stratovolcano	M0
Unnamed	Syria	Holocene	33	N	36.43	E	945	Volcanic field	M0
Cabalían	Philippines-C	Radiocarbon	10.287	N	125.221	E	945	Stratovolcano	S0
Alban Hills	Italy	Holocene maybe	41.73	N	12.7	E	949	Caldera	S0
May-ya-moto	Africa-C	Fumarolic	-0.93	S	29.33	E	950	Fumarole field	S0
Moti	Halmahera-Indonesia	Holocene	0.45	N	127.4	E	950	Stratovolcano	S0
Es Safa	Syria	Historical	33.25	N	37.07	E	979	Volcanic field	M0
Todoko-Ranu	Halmahera-Indonesia	Holocene	1.25	N	127.47	E	979	Calderas	S0
Healy	New Zealand	Radiocarbon	-35.004	S	178.973	E	980	Submarine volcano	U0
Assab Volc Field	Ethiopia	Holocene	12.95	N	42.43	E	987	Volcanic field	M0
Sakar	New Guinea-NE of	Holocene maybe	-5.414	S	148.094	E	992	Stratovolcano	M0
Gallego	Solomon Is-SW Pacific	Holocene maybe	-9.35	S	159.73	E	1000	Volcanic field	S0
Suoh	Sumatra	Historical	-5.25	S	104.27	E	1000	Calderas	S0
Haut Dong Nai	SE Asia	Holocene maybe	11.6	N	108.2	E	1000	Volcanic field	S0
Iraya	Luzon-N of	Historical	20.469	N	122.01	E	1009	Stratovolcano	S0
Newer Volcanics Prov	Australia	Radiocarbon	-37.77	S	142.5	E	1011	Shield volcanoes	M0
Ililabalekan	Lesser Sunda Is	Fumarolic	-8.55	S	123.38	E	1018	Stratovolcano	M0
Iliwerung	Lesser Sunda Is	Historical	-8.53	S	123.57	E	1018	Complex volcano	M1
Arayat	Luzon-Philippines	Holocene maybe	15.2	N	120.742	E	1026	Stratovolcano	S0
Mere Lava	Vanuatu-SW Pacific	Holocene	-14.45	S	168.05	E	1028	Stratovolcano	M0
Kao	Tonga-SW Pacific	Holocene	-19.67	S	-175.03	W	1030	Stratovolcano	S0
Amasing	Halmahera-Indonesia	Holocene	-0.53	S	127.48	E	1030	Stratovolcanoes	S0
Ale Bagu	Ethiopia	Holocene	13.52	N	40.63	E	1031	Stratovolcano	M0
Barrier The	Africa-E	Historical	2.32	N	36.57	E	1032	Shield volcano	S1
Tobaru	Halmahera-Indonesia	Holocene	1.63	N	127.67	E	1035	Unknown	S0
Hulubelu	Sumatra	Fumarolic	-5.35	S	104.6	E	1040	Caldera	S0
Mega Basalt Field	Ethiopia	Holocene	4.08	N	37.42	E	1067	Pyroclastic cones	M0
Katwe-Kikorongo	Africa-C	Holocene	-0.08	S	29.92	E	1067	Tuff cones	S0
Dama Ali	Ethiopia	Historical	11.28	N	41.63	E	1068	Shield volcano	M0
Leonard Range	Mindanao-Philippines	Radiocarbon	7.382	N	126.047	E	1080	Stratovolcano	S0
Babuyan Claro	Luzon-N of	Historical	19.523	N	121.94	E	1080	Stratovolcanoes	S1
Grille La	Indian O.-W	Holocene	-11.47	S	43.33	E	1087	Shield volcano	M0
Est Ile de l'	Indian O.-S	Holocene maybe	-46.43	S	52.2	E	1090	Stratovolcano	M0
San Pablo Volc Field	Luzon-Philippines	Anthropology	14.12	N	121.3	E	1090	Stratovolcano	S0
Beru	Ethiopia	Holocene	8.95	N	39.75	E	1100	Volcanic field	M0
Harrah Al	Arabia-W	Holocene	31.08	N	38.42	E	1100	Volcanic field	M0
Upolu	Samoa-SW Pacific	Holocene	-13.935	S	-171.72	W	1100	Shield volcano	M0
Ilimuda	Lesser Sunda Is	Fumarolic	-8.478	S	122.671	E	1100	Stratovolcano	S0
Pocdol Mountains	Luzon-Philippines	Fumarolic	13.05	N	123.958	E	1102	Compound volcano	S0
Okataina	New Zealand	Historical	-38.12	S	176.5	E	1111	Lava domes	S0
Calatrava Volc Field	Spain	Radiocarbon	38.87	N	-4.02	W	1117	Pyroclastic cones	M0
Leroboleng	Lesser Sunda Is	Historical	-8.358	S	122.842	E	1117	Complex volcano	S1
Ol Kokwe	Africa-E	Holocene	0.62	N	36.075	E	1130	Shield volcano	M0
Jailolo	Halmahera-Indonesia	Holocene	1.08	N	127.42	E	1130	Stratovolcano	S0
Cagua	Luzon-Philippines	Historical	18.222	N	122.123	E	1133	Stratovolcano	S0
Hargy	New Britain-SW Pac	Radiocarbon	-5.33	S	151.1	E	1148	Stratovolcano	S0
